Mar 10, 2021 03:59:20
Subset Size	1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000	
Hash map insert	121	315	396	802	625	1251	1267	929	929	1122	
Hash map find	25	44	148	56	70	88	102	94	123	149	
Hash map sort	266	474	678	768	1020	1129	1342	1545	1619	1883	
Hash map delete	23	31	36	39	156	70	70	83	72	77	
Red-Black tree insert	626	1193	2198	3136	3661	3935	4194	4696	5571	5565	
Red-Black tree find	43	92	150	209	284	438	432	524	588	681	
Red-Black tree sort	21	34	44	61	77	105	123	141	168	192	
Red-Black tree delete	44	73	104	143	183	235	272	312	329	396	
