Mar 10, 2021 03:57:49
Subset Size	1000000	2000000	3000000	4000000	5000000	6000000	7000000	8000000	9000000	10000000	
Hash map insert	118	324	421	736	683	692	766	1053	889	824	
Hash map find	26	31	50	50	132	102	130	128	115	154	
Hash map sort	293	478	655	795	870	1087	1253	1383	1578	1872	
Hash map delete	35	29	50	49	51	49	57	43	97	45	
Red-Black tree insert	481	1243	2089	3063	4017	4460	5013	5561	6524	5510	
Red-Black tree find	44	86	144	211	281	422	410	454	601	615	
Red-Black tree sort	31	32	41	58	83	120	122	138	163	180	
Red-Black tree delete	42	62	94	128	166	238	281	332	420	476	
